depth_m,d13C_pl,d18O_pl,age,aragonite,lmc,hmc,int_thick,int_time,sed_rates,ratio_ara-hmc,ratio_lmc-hmc,ratio_lmc-ara,ratio_hmc-ara,ratio_hmc-lmc,ratio_lmc-hmc+ara,d13C_bulk,d18O_bulk,coarse,fine,ratio-fine-coarse,L*,a*,b*,mean,sorting,skewness,kurtosis,sand,mud,ratio-mud-sand,median
2.51,0.723,-1.596,87.96236897,55.5,32.81,11.685,5,0.85923846,5.819106375,4.749679076,2.807873342,0.591171171,0.210540541,0.35614142,0.488353055,0.848563939,-1.162487801,24.90253411,75.09746589,3.015655578,46.5713,0.3531,11.5195,108.2,5.11,-0.353,0.816,0.641,0.359,0.56,153.9
2.56,0.805,-1.72,88.82160742,56.67,32.24,11.09,5,0.85923845,5.819106442,5.110009017,2.907123535,0.568907711,0.195694371,0.34398263,0.47579693,0.994750158,-0.982619967,32.21556886,67.78443114,2.10408922,51.2034,0.2102,12.9483,57.53,5.017,-0.137,0.904,0.504,0.496,0.99,63.42
2.61,0.729,-1.702,89.68084588,60.24,28.7,11.07,5,0.85923846,5.819106375,5.441734417,2.592592593,0.476427623,0.18376494,0.385714286,0.402468097,1.200557322,-0.933758656,26.4118896,73.5881104,2.786173633,50.0089,0.2475,12.7363,88.88,5.257,-0.253,0.842,0.612,0.388,0.63,110.3
2.66,1.114,-1.659,90.54008433,58.93,29.51,11.55,5,0.85923845,5.819106442,5.102164502,2.554978355,0.500763618,0.195995249,0.391392748,0.418700341,1.143313789,-0.779162797,27.71974522,72.28025478,2.607536765,49.6271,0.2096,10.1935,96.55,5.673,-0.349,0.806,0.625,0.375,0.6,139.3
2.71,0.772,-1.961,91.39932279,60.575,27.925,11.49,5,0.85923846,5.819106375,5.271975631,2.430374238,0.460998762,0.189682212,0.411459266,0.387497398,1.204214144,-1.015632979,24.35124509,75.64875491,3.106566199,49.2793,0.3293,12.6919,94.27,6.304,-0.151,0.783,0.597,0.403,0.67,104
2.76,0.773,-1.802,92.25856124,62.22,26.34,11.43,5,0.85923845,5.819106442,5.443569554,2.304461942,0.423336548,0.183702989,0.433940774,0.357637475,,,24.06954632,75.93045368,3.154627539,49.9997,0.0856,11.5775,150.7,5.918,-0.577,0.866,0.691,0.309,0.45,296.5
2.81,1.123,-2.061,93.1177997,60.895,26.775,12.33,5,0.85923846,5.819106375,4.938767234,2.171532847,0.439691272,0.202479678,0.460504202,0.365653807,,,23.53870458,76.46129542,3.248322148,50.0435,0.0264,11.5192,84.01,6.235,-0.05,0.793,0.551,0.449,0.82,79.6
2.86,1.007,-1.784,93.97703816,59.57,27.21,13.23,5,0.85923846,5.819106375,4.502645503,2.056689342,0.456773544,0.222091657,0.486218302,0.373763736,,,21.4354067,78.5645933,3.665178571,49.9763,0.2063,11.5516,62.99,5.408,-0.12,0.832,0.512,0.488,0.95,65.99
2.91,1.109,-1.97,94.83627661,59.315,27.755,12.935,5,0.85923845,5.819106442,4.58562041,2.145728643,0.467925483,0.218073,0.466042155,0.384152249,1.210112842,-0.925358566,21.54178674,78.45821326,3.642140469,50.0005,0.2701,12.0465,,,,,,,,
2.96,0.979,-2.009,95.69551507,59.06,28.3,12.64,5,0.85923846,5.819106375,4.672468354,2.238924051,0.479173722,0.214019641,0.44664311,0.394700139,,,23.1109706,76.8890294,3.326949384,54.4926,0.1887,10.9609,73.88,6.25,-0.197,0.83,0.562,0.438,0.78,85.03
3.01,0.812,-2.047,96.55475352,59.14,27.61,13.25,5,0.85923845,5.819106442,4.463396226,2.083773585,0.466858302,0.22404464,0.479898587,0.381406272,1.009886816,-0.944284339,24.71675611,75.28324389,3.04583836,50.3538,0.1909,11.1841,124.2,5.95,-0.367,0.878,0.674,0.326,0.48,179.7
3.06,0.292,-1.894,97.41399198,59.97,27.245,12.79,5,0.85923846,5.819106375,4.68881939,2.130179828,0.454310489,0.213273303,0.469443935,0.374450247,0.870662846,-1.498894152,20.87155963,79.12844037,3.791208792,48.8083,0.3762,12.3208,68.43,6.116,-0.197,0.969,0.558,0.442,0.79,79.55
3.11,1.002,-1.893,98.27323043,60.8,26.88,12.33,5,0.85923845,5.819106442,4.931062449,2.180048662,0.442105263,0.202796053,0.458705357,0.367564611,0.998976148,-0.089259792,21.23258759,78.76741241,3.709741551,50.4166,0.3,12.6319,50.57,5.722,-0.137,0.959,0.471,0.529,1.12,55.6
3.16,1.002,-1.918,99.13246889,63.02,25.72,11.26,5,0.85923846,5.819106375,5.596802842,2.284191829,0.408124405,0.178673437,0.437791602,0.346257404,1.034688464,-1.156551084,21.61764706,78.38235294,3.62585034,56.3107,0.2094,10.8115,85.55,6.949,-0.116,0.842,0.573,0.427,0.74,88.38
3.21,0.683,-1.65,99.99170734,62.655,26.39,10.955,5,0.85923845,5.819106442,5.719306253,2.408945687,0.421195435,0.174846381,0.415119363,0.358511072,1.297908845,-0.417932887,27.77300086,72.22699914,2.600619195,49.6668,0.0284,11.4839,121.9,6.584,-0.249,0.851,0.66,0.34,0.52,152.4
3.26,0.96,-2.267,100.8509458,62.29,27.06,10.65,5,0.85923846,5.819106375,5.848826291,2.54084507,0.43441965,0.170974474,0.393569845,0.370989855,1.146337983,-1.084010115,19.96017919,80.03982081,4.009975063,55.2321,0.3526,11.9334,51.98,6.359,-0.156,1.033,0.486,0.514,1.06,59.28
3.31,0.893,-1.682,101.7101843,59.5,26.79,13.7,5,0.8592385,5.819106104,4.343065693,1.955474453,0.450252101,0.230252101,0.511384845,0.365983607,1.177889451,-1.189329341,23.3686067,76.6313933,3.279245283,,,,64.23,6.571,-0.168,0.908,0.532,0.468,0.88,71.62
3.36,0.823,-1.551,102.5694227,57.35,30.11,12.54,5,0.8592384,5.819106781,4.573365231,2.401116427,0.525021796,0.218657367,0.416472933,0.43081986,0.935397566,-0.894211402,23.58668342,76.41331658,3.239680426,48.768,0.2482,11.5956,102,7.444,-0.165,0.827,0.612,0.388,0.63,113
3.41,0.69,-1.231,103.4286612,56.905,30.58,12.515,5,0.8592385,5.819106104,4.546943668,2.443467839,0.537386873,0.21992795,0.409254415,0.440507058,1.064477611,-0.867808668,28.05912948,71.94087052,2.563902439,50.0771,0.1336,12.9239,84.34,6.424,-0.105,0.835,0.573,0.427,0.75,87.99
3.46,0.97,-1.798,104.2878996,56.46,31.05,12.49,5,0.8592384,5.819106781,4.520416333,2.485988791,0.549946865,0.221218562,0.402254428,0.450326323,0.902561412,-1.135781101,26.67004049,73.32995951,2.749525616,50.2694,0.1058,12.5458,59.95,5.538,-0.144,0.882,0.516,0.484,0.94,66.89
3.51,0.865,-1.438,105.1471381,56.595,31.095,12.31,5,0.8592385,5.819106104,4.597481722,2.525995126,0.549430162,0.217510381,0.395883583,0.451273492,1.16428055,-1.218654364,23.7222758,76.2777242,3.215447154,50.5922,0.2368,12.9001,96.67,6.17,-0.081,0.763,0.583,0.417,0.71,96.16
3.56,1.357,-1.548,106.0063765,56.73,31.14,12.13,5,0.8592384,5.819106781,4.676834295,2.567188788,0.548915918,0.213819848,0.38953115,0.4522219,0.572704944,-1.269258849,23.53491272,76.46508728,3.249006622,49.0733,0.3441,14.1544,95.46,5.898,-0.013,0.8,0.571,0.429,0.75,86.25
3.61,0.855,-1.501,106.865615,55.62,32.73,11.65,5,0.8592385,5.819106104,4.774248927,2.80944206,0.588457389,0.20945703,0.35594256,0.486546752,0.394817319,-1.365445787,24.67866324,75.32133676,3.052083333,48.9732,0.2883,13.454,67.43,5.055,-0.074,0.902,0.519,0.481,0.93,67.46
3.66,0.817,-1.366,107.7248534,58.24,29.71,12.05,5,0.8592384,5.819106781,4.833195021,2.465560166,0.510130495,0.206902473,0.405587344,0.422677479,1.113799408,-1.004095672,27.47372236,72.52627764,2.639841689,49.5007,0.1963,13.2271,90.36,6.435,-0.094,0.792,0.577,0.423,0.73,92.82
3.71,0.96,-1.53,108.5840919,57.09,31.89,11.02,5,0.8592385,5.819106104,5.180580762,2.893829401,0.558591697,0.193028551,0.345562872,0.468213185,0.92608718,-1.079005082,23.71695179,76.28304821,3.216393442,49.6955,0.378,14.6516,67.84,4.784,-0.058,0.928,0.516,0.484,0.94,66.46
3.76,0.782,-1.558,109.4433304,58.39,30.29,11.32,5,0.8592385,5.819106104,5.158127208,2.675795053,0.518753211,0.193868813,0.3737207,0.434514417,,,31.50397011,68.49602989,2.174203113,47.664,0.4168,12.7476,75.47,5.424,-0.125,0.825,0.553,0.447,0.81,79.83
3.81,0.761,-1.47,110.3025688,58.21,30,11.79,5,0.8592384,5.819106781,4.937234945,2.544529262,0.515375365,0.202542518,0.393,0.428571429,1.167546573,-1.056609991,28.54200988,71.45799012,2.503607504,50.07,0.4674,14.3382,85.17,6.032,-0.079,0.797,0.563,0.437,0.78,85.66
3.86,0.794,-1.666,111.1618073,58.95,30.25,10.8,5,0.8592385,5.819106104,5.458333333,2.800925926,0.513146735,0.183206107,0.357024793,0.433691756,1.193370216,-0.92321825,23.17961165,76.82038835,3.314136126,46.2935,0.335,12.0074,74.31,6.033,-0.11,0.867,0.554,0.446,0.81,79.93
3.91,1.004,-1.376,112.0210457,59.13,29.74,11.135,5,0.8592384,5.819106781,5.310282892,2.670857656,0.502959581,0.188313885,0.374411567,0.423254821,1.008980823,-0.772503259,31.82337267,68.17662733,2.142344497,48.0629,0.3109,12.2289,128.4,5.885,-0.292,0.802,0.668,0.332,0.5,171.1
3.96,0.826,-2.179,112.8802842,59.31,29.23,11.47,5,0.8592385,5.819106104,5.170880558,2.548387097,0.492834261,0.193390659,0.392405063,0.412969765,0.96635511,-1.181496723,26.37548263,73.62451737,2.791399816,47.8489,0.3015,12.3544,90.35,6.493,-0.097,0.75,0.574,0.426,0.74,93.77
4.01,0.637,-2.108,113.7395226,60.06,28.71,11.23,5,0.8592384,5.819106781,5.348174533,2.556544969,0.478021978,0.186979687,0.391152908,0.402721279,0.912840387,-1.233174752,28.1828074,71.8171926,2.548262548,49.0619,0.4206,13.3057,89.82,6.579,-0.129,0.754,0.577,0.423,0.73,97.28
4.06,0.701,-2.08,114.5987611,61.23,27.78,10.99,5,0.8592385,5.819106104,5.571428571,2.527752502,0.453699167,0.179487179,0.395608351,0.384657989,0.958805472,-1.668043061,22.81085814,77.18914186,3.38387716,50.3568,0.308,13.0935,47.41,5.501,0.001,0.98,0.412,0.588,1.43,44.15
4.11,1.031,-1.876,115.4579995,57.85,27.15,15,5,0.8592384,5.819106781,3.856666667,1.81,0.4693172,0.259291271,0.552486188,0.372683596,1.079904447,-1.411476637,15.8036516,84.1963484,5.327651516,52.4995,0.262,14.862,76.37,6.601,0.036,0.738,0.504,0.496,0.99,63.74
4.16,0.957,-1.898,116.317238,61.85,25.18,12.97,5,0.8592385,5.819106104,4.768696993,1.941403238,0.407113985,0.209700889,0.515091342,0.336541032,1.060365313,-1.479393279,16.849978,83.150022,4.934725849,52.5076,0.4121,15.1473,64.25,6.617,-0.152,0.774,0.521,0.479,0.92,70.46
4.21,0.422,-1.949,117.1764765,61.1,26.285,12.615,5,0.8592385,5.819106104,4.843440349,2.083630598,0.430196399,0.206464812,0.47993152,0.356576002,1.087402097,-1.248168149,15.19919652,84.80080348,5.579295153,50.5313,0.4185,13.8107,37.63,6.173,-0.043,1.036,0.372,0.628,1.69,37.36
4.26,0.884,-2.349,118.0357149,60.35,27.39,12.26,5,0.8592384,5.819106781,4.922512235,2.234094617,0.453852527,0.203148302,0.447608616,0.377220768,0.951264397,-1.575662313,17.92508918,82.07491082,4.578772803,,,,43.05,6.63,-0.042,0.935,0.404,0.596,1.47,41.14
4.41,0.111,-1.473,118.8949534,65.61,21.23,13.16,,,,4.98556231,1.613221884,0.323578723,0.20057918,0.619877532,0.269518852,,,24.22334173,75.77665827,3.128249567,52.4857,-0.043,12.751,80.72,6.715,-0.092,0.767,0.55,0.45,0.82,82.64
4.46,0.672,-2.546,119.7541918,69.78,16.2,14.01,5,0.8592384,5.819106781,4.980728051,1.156316916,0.232158212,0.200773861,0.864814815,0.193340494,,,18.30508475,81.69491525,4.462962962,50.4516,-0.0854,12.0795,80.57,6.346,-0.097,0.755,0.543,0.457,0.84,81.84
4.51,1.031,-2.396,120.6134303,67.42,18.04,14.54,5,0.8592385,5.819106104,4.636863824,1.240715268,0.267576387,0.215663008,0.805986696,0.220107369,1.113281428,-1.859980423,20.94625632,79.05374368,3.774122806,51.7846,-0.0304,12.458,42.88,5.201,-0.036,1.007,0.393,0.607,1.55,41.65
4.56,0.667,-1.961,121.4726687,65.98,20.64,13.38,5,0.8592384,5.819106781,4.931240658,1.542600897,0.312822067,0.202788724,0.648255814,0.260080645,1.012863141,-1.433207369,27.79342723,72.20657277,2.597972973,53.2519,-0.1222,11.8512,78.17,5.859,-0.102,0.807,0.55,0.45,0.82,80.13
4.61,0.732,-2.735,122.3319072,68.98,16.63,14.38,5,0.8592385,5.819106104,4.796940195,1.156467316,0.241084372,0.208466222,0.864702345,0.199496161,0.894614491,-2.206579867,19.16354557,80.83645443,4.218241042,53.48,-0.1698,12.2882,63.89,5.98,-0.033,0.894,0.488,0.512,1.05,59.39
4.66,0.821,-2.587,123.1911456,66.45,16.7,16.85,5,0.8592384,5.819106781,3.943620178,0.991097923,0.25131678,0.253574116,1.008982036,0.200480192,0.894025815,-2.038283098,20.4538842,79.5461158,3.889046942,52.8536,-0.212,11.9742,78.61,5.92,-0.044,0.832,0.535,0.465,0.87,73.09
4.71,0.905,-2.473,124.0503841,61.905,21.21,16.885,5,0.8592385,5.819106104,3.666271839,1.256144507,0.342621759,0.272756643,0.796086752,0.269196599,0.761168901,-1.754549292,20.40502435,79.59497565,3.900753769,53.0971,0.011,10.5163,68.05,6.042,-0.065,0.866,0.514,0.486,0.95,66.51
4.76,0.69,-2.428,124.9096226,57.36,25.72,16.92,5,0.8592385,5.819106104,3.390070922,1.520094563,0.448396095,0.294979079,0.65785381,0.346257404,0.71066907,-1.590933957,29.64219618,70.35780382,2.373569198,53.9345,-0.1574,11.5703,104.5,6.215,-0.21,0.809,0.624,0.376,0.6,125.5
4.81,0.817,-2.514,125.768861,66.68,16.36,16.95,5,0.8592384,5.819106781,3.933923304,0.96519174,0.24535093,0.25419916,1.03606357,0.19562358,0.869153906,-2.096805251,21.00553899,78.99446101,3.760649086,52.796,-0.1869,12.2134,73.82,5.981,-0.099,0.838,0.537,0.463,0.86,74.13
4.86,0.729,-2.788,126.6280995,59.96,23.84,16.2,5,0.8592385,5.819106104,3.701234568,1.471604938,0.397598399,0.27018012,0.679530201,0.31302521,0.97319612,-1.216279967,29.00133156,70.99866844,2.448117539,52.6949,-0.1195,12.2885,81.49,6.008,-0.156,0.842,0.578,0.422,0.73,90.06
4.91,0.622,-2.425,127.4873379,63.42,18.2,18.39,5,0.8592384,5.819106781,3.448613377,0.989668298,0.286975717,0.289971618,1.01043956,0.222466691,0.315577994,-1.735083898,28.5061672,71.4938328,2.50801282,51.7856,-0.1851,11.3354,77.9,5.188,-0.154,0.856,0.566,0.434,0.77,84.72
4.96,0.465,-1.286,128.3465764,63.24,19.51,17.25,5,0.8592385,5.819106104,3.666086957,1.131014493,0.308507274,0.272770398,0.884161968,0.242390359,0.994508915,-1.981118234,24.66487936,75.33512064,3.054347826,49.2585,0.0733,12.388,194.9,4.695,-0.626,0.98,0.762,0.238,0.31,368.8
5.01,0.866,-2.381,129.2058148,56.29,25.53,18.17,5,0.8592384,5.819106781,3.097963676,1.405063291,0.453544146,0.322792681,0.711711712,0.342868654,0.833133385,-1.030505902,34.65703971,65.34296029,1.885416667,48.6491,0.1062,12.4329,90.3,5.522,-0.199,0.782,0.59,0.41,0.69,106.1
5.06,0.525,-2.691,130.0650533,53.97,27.08,18.95,5,0.8592385,5.819106104,2.848021108,1.429023747,0.501760237,0.351120993,0.699778434,0.37136588,0.697105573,-1.14878082,33.42140026,66.57859974,1.992094862,48.0382,0.1292,10.5226,102.9,5.606,-0.273,0.756,0.613,0.387,0.63,136
5.11,0.627,-1.364,131.6920242,53.26,31.17,15.56,5,1.6269709,3.073195716,3.422879177,2.003213368,0.585242208,0.292151709,0.499197947,0.452920663,0.672516291,-0.959496908,32.07937164,67.92062836,2.117268041,49.8337,-0.1039,7.5268,75.23,5.422,-0.188,0.779,0.562,0.438,0.78,87.66
