depth_m,age,sed_rates,aragonite,lmc,hmc,water,TGA_orgstof,TGA_totalorg,TGA_CaCO3,Flash_TC,Flash_TOC,Flash_TN,Flash_CaCO3,s_500,s_355-500,s_250-355,s_125-250,s_63-125,s_63,l_63,l_63-125,l_125_250,l_250_500,l_500,d18O_pl,d13C_pl,d13C_bulk,d18O_bulk,L*,a*,b*,mean,sorting,skewness,kurtosis,median
10.71,,25.83,66.33,26.54,7.13,34.52,,,,,,,,4.26,5.12,5.27,8.37,12.16,65.07,45.67,18.97,8.38,9.71,17.27,-0.836,0.53,1.098187524,-1.067516793,53.1864,0.5575,12.8552,94.02,4.715,0.192,0.913,71.06
10.76,,25.83,68.11,25.37,6.52,35.47,0.69,2.55,94.57,11.79,0.49,0.05,94.13,2.77,3.66,3.41,5.79,7.28,74.58,,,,,,-1.193,0.734,,,54.0076,0.6727,13.3351,,,,,
10.81,,25.83,68.08,25.1,6.82,34.75,,,,,,,,3.32,3.62,3.7,6.2,11.38,71.86,56.97,12.5,4.51,12.13,13.9,-1.382,1.313,0.931918959,-1.443419496,53.2232,0.6155,14.5459,70.55,4.786,0.22,0.792,51.17
10.86,,25.83,67.82,25.51,6.67,35.06,,,,,,,,4.78,4.37,4.03,6.32,9.94,71.13,,,,,,-0.998,0.597,0.958110064,-1.270580945,53.1959,0.7756,14.2755,,,,,
10.91,,25.83,68.82,24.19,6.99,34.42,,,,,,,,3.32,4.42,4.35,5.42,8.16,74.68,74.37,18.65,4.6,2.37,0,-0.968,0.664,0.9344,-1.1196,53.7618,0.4517,13.6563,31.79,2.679,-0.134,0.996,36.02
10.96,,25.83,67.52,25.63,6.85,35.93,0.62,2.41,94.83,11.64,0.45,0.05,93.25,2.73,2.82,2.73,6.32,11.06,73.1,,,,,,-1.339,0.849,,,52.1205,0.688,13.724,,,,,
11.01,,25.83,66.2,26.84,6.96,34.55,,,,,,,,3.23,4.23,4.64,6.85,10.28,70.97,55.44,13.15,5.75,13,12.66,-1.236,0.79,1.022409509,-1.577897745,53.4944,0.5779,14.0099,69.85,4.7,0.188,0.793,52.94
11.06,,25.83,67.71,24.83,7.46,35.01,,,,,,,,3.99,5.24,5.14,7.5,11.64,67.17,,,,,,-1.247,0.23,0.910304659,-1.497826633,51.9427,0.6811,14.464,,,,,
11.11,,25.83,66.21,27.15,6.64,35.15,,,,,,,,3.62,4.11,3.97,5.04,7.68,76.03,58.78,3.62,0.33,12.75,24.52,-0.925,0.498,0.874473073,-1.132978116,53.2574,0.479,14.3984,70.92,5.896,0.295,0.637,44.38
11.16,,25.83,67.4,25.51,7.1,35.43,0.64,2.41,94.6,11.81,0.45,0.04,94.68,4.28,5.78,5.06,7.29,8.8,67.95,,,,,,-1.459,0.835,,,52.8936,0.5365,14.0747,,,,,
