0,0 3,23
1,0 3,23
2,0 3,18
3,0 3,29
4,0 3,3
5,0 3,26
6,0 3,33
7,0 3,37
8,0 3,42
9,0 3,38
10,0 3,52
11,0 3,6
12,0 3,92
13,0 4,06
14,0 4,28
15,0 4,49
16,0 4,75
17,0 4,88
18,0 5,02
19,0 4,96
20,0 4,99
21,0 4,91
22,0 4,88
23,0 4,86
24,0 4,81
25,0 4,82
26,0 4,67
27,0 4,75
28,0 4,75
29,0 4,73
30,0 4,62
31,0 4,62
32,0 4,6
33,0 4,58
34,0 4,59
35,0 4,54
36,0 4,45
37,0 4,46
38,0 4,41
39,0 4,55
40,0 4,55
41,0 4,51
42,0 4,5
43,0 4,46
44,0 4,48
45,0 4,33
46,0 4,36
47,0 4,38
48,0 4,45
49,0 4,46
50,0 4,34
51,0 4,33
52,0 4,31
53,0 4,44
54,0 4,38
55,0 4,31
56,0 4,35
57,0 4,43
58,0 4,49
59,0 4,43
60,0 4,6
61,0 4,51
62,0 4,6
63,0 4,53
64,0 4,36
65,0 4,48
66,0 4,57
67,0 4,44
68,0 4,42
69,0 4,47
70,0 4,32
71,0 4,22
72,0 4,21
73,0 4,23
74,0 4,03
75,0 3,95
76,0 4,06
77,0 4,08
78,0 4,05
79,0 4,05
80,0 3,9
81,0 3,82
82,0 3,8
83,0 3,83
84,0 3,82
85,0 3,95
86,0 4,06
87,0 4,18
88,0 4,11
89,0 4,08
90,0 4,06
91,0 4,03
92,0 3,98
93,0 3,9
94,0 3,84
95,0 3,77
96,0 3,75
97,0 3,83
98,0 3,9
99,0 3,78
100,0 3,81
101,0 3,92
102,0 3,86
103,0 3,88
104,0 3,92
105,0 3,85
106,0 4,0
107,0 4,04
108,0 4,11
109,0 4,12
110,0 4,04
111,0 4,02
112,0 4,03
113,0 3,93
114,0 3,81
115,0 3,71
116,0 3,58
117,0 3,54
118,0 3,44
119,0 3,3
120,0 3,27
121,0 3,26
122,0 3,18
123,0 3,1
124,0 3,27
125,0 3,14
126,0 3,16
127,0 3,37
128,0 3,71
129,0 3,9
130,0 3,67
131,0 3,81
132,0 4,2
133,0 4,41
134,0 4,7
135,0 4,86
136,0 4,82
137,0 4,8
138,0 4,89
139,0 4,87
